3,2,3,3,3,2,2,3,2,3,,2.6,26,65.0
3,2,3,3,3,3,3,3,3,3,,2.9,29,72.5
4,3,2,3,3,3,3,4,3,3,,3.1,31,77.5
3,3,3,4,3,3,3,3,3,3,,3.1,31,77.5
3,2,3,4,3,4,3,3,3,4,,3.2,32,80.0
3,3,3,4,3,4,2,3,4,3,,3.2,32,80.0
4,4,3,3,3,4,2,3,3,3,,3.2,32,80.0
3,3,3,3,3,4,3,3,3,4,,3.2,32,80.0
4,3,3,3,3,3,3,3,4,3,,3.2,32,80.0
4,3,3,4,3,4,3,2,3,3,,3.2,32,80.0
3,3,2,3,3,3,4,3,4,4,,3.2,32,80.0
3,4,3,3,3,4,3,3,3,3,,3.2,32,80.0
3,2,3,4,3,4,4,3,3,4,,3.3,33,82.5
3,4,3,4,3,4,2,4,3,3,,3.3,33,82.5
4,3,4,3,3,3,3,3,3,4,,3.3,33,82.5
3,3,3,4,3,3,3,3,4,4,,3.3,33,82.5
3,3,4,4,3,3,4,3,3,3,,3.3,33,82.5
3,4,3,3,3,3,4,4,4,3,,3.4,34,85.0
4,3,3,4,3,3,4,4,3,4,,3.5,35,87.5
4,3,4,4,3,3,3,4,3,4,,3.5,35,87.5
4,4,3,4,3,3,3,4,4,4,,3.6,36,90.0
4,3,3,4,4,4,3,4,3,4,,3.6,36,90.0
4,3,4,4,4,4,3,4,3,4,,3.7,37,92.5
4,3,4,4,4,3,3,4,4,4,,3.7,37,92.5
4,3,4,4,4,4,3,3,4,4,,3.7,37,92.5
4,3,4,4,4,4,3,4,4,4,,3.8,38,95.0
4,3,4,4,4,3,4,4,4,4,,3.8,38,95.0
4,3,3,4,4,4,4,4,4,4,,3.8,38,95.0
4,4,4,4,4,4,3,4,4,4,,3.9,39,97.5
4,3,4,4,4,4,4,4,4,4,,3.9,39,97.5
3.57,3.07,3.27,3.67,3.30,3.47,3.13,3.43,3.40,3.60,,,,,,33.9,84.75
